,index,Porcentaje_Missing,Percentil10,Percentil90,variabilidad,0,1,PSI_max,decision_final
0,id_cliente,0.0,1.915050235476811e+17,9.115246806984562e+17,Variable,,,,Incluir
1,fecha_tx_pav,0.0,201902.0,201910.0,Variable,,,,Incluir
2,fecha_tx_act,0.0,201902.0,201910.0,Variable,,,,Incluir
3,fecha_pasivo,0.0,201901.0,201909.0,Variable,,,,Incluir
4,fecha_lib,0.0,201902.0,201910.0,Variable,,,,Incluir
5,fecha_activo,0.0,201901.0,201909.0,Variable,,,,Incluir
6,fecha_buro,0.0,201812.0,201909.0,Variable,,,,Incluir
7,data_camp,0.0,201903.0,201911.0,Variable,,,,Incluir
8,mes_campaña,0.0,,,,,,,Incluir
9,venta,0.0,0.0,0.0,No variable,,,,Excluir
10,30first_use,0.0,0.0,0.0,No variable,,,,Excluir
11,var_final,0.0,0.0,0.0,No variable,var_final,0.0,0.0,Excluir
12,tipo_campana,0.0,,,,,,,Incluir
13,periodo,0.0,,,,,,,Incluir
14,acep_oferta_prev,0.7053405963946763,0.0,0.0,No variable,acep_oferta_prev,0.0,0.0,Excluir
15,num_act_utl_meses,0.7053405963946763,0.0,0.0,No variable,num_act_utl_meses,0.0,0.0,Excluir
16,num_camp_ult_meses,0.7053405963946763,1.0,2.0,Variable,num_camp_ult_meses,0.004327255152985819,0.004327255152985819,Incluir
17,num_meses_ult_actv,0.9988206884932892,-2.0566666666666666,0.09333333333333324,Variable,num_meses_ult_actv,1.3423751096314311,1.3423751096314311,Excluir
18,num_meses_ult_camp,0.7053405963946763,4.066666666666666,6.033333333333333,Variable,num_meses_ult_camp,2.1250003756826605,2.1250003756826605,Excluir
19,num_no_aceptado,0.7053405963946763,1.0,2.0,Variable,num_no_aceptado,1.619325089626325,1.619325089626325,Excluir
20,prom_cupo_aprob,0.8731116976469927,1700000.0,8700000.0,Variable,prom_cupo_aprob,1.0042309962651192,1.0042309962651192,Excluir
21,acierta_a_financiero,0.2856460942326052,742.0,937.0,Variable,acierta_a_financiero,0.621298722471036,0.621298722471036,Excluir
22,cancel_mal_manejo_cartera_hist,0.2856460942326052,0.0,0.0,No variable,,,,Excluir
23,cancel_mal_manejo_ctas_banca,0.2856460942326052,0.0,0.0,No variable,,,,Excluir
