,index,Porcentaje_Missing,Percentil10,Percentil90,variabilidad,0,1,PSI_max,decision_final
0,id_cliente,0.0,1.886552661881482e+17,9.126562870460262e+17,Variable,,,,Incluir
1,fecha_tx_pav,0.0,201902.0,201910.0,Variable,,,,Incluir
2,fecha_tx_act,0.0,201902.0,201910.0,Variable,,,,Incluir
3,fecha_pasivo,0.0,201901.0,201909.0,Variable,,,,Incluir
4,fecha_lib,0.0,201902.0,201910.0,Variable,,,,Incluir
5,fecha_activo,0.0,201901.0,201909.0,Variable,,,,Incluir
6,fecha_buro,0.0,201812.0,201909.0,Variable,,,,Incluir
7,data_camp,0.0,201903.0,201911.0,Variable,,,,Incluir
8,mes_campaña,0.0,,,,,,,Incluir
9,venta,0.0,0.0,0.0,No variable,,,,Excluir
10,30first_use,0.0,0.0,0.0,No variable,,,,Excluir
11,var_final,0.0,0.0,0.0,No variable,,,,Excluir
12,tipo_campana,0.0,,,,,,,Incluir
13,periodo,0.0,,,,,,,Incluir
14,acep_oferta_prev,0.9667880711117522,0.0,0.0,No variable,acep_oferta_prev,0.0,0.0,Excluir
15,num_act_utl_meses,0.9667880711117522,0.0,0.0,No variable,num_act_utl_meses,0.0,0.0,Excluir
16,num_camp_ult_meses,0.9667880711117522,1.0,1.0,No variable,num_camp_ult_meses,0.0,0.0,Excluir
17,num_meses_ult_actv,0.999963939273737,-0.8,-0.8,No variable,num_meses_ult_actv,,,Excluir
18,num_meses_ult_camp,0.9667880711117522,3.066666666666667,9.1,Variable,num_meses_ult_camp,inf,inf,Excluir
19,num_no_aceptado,0.9667880711117522,1.0,1.0,No variable,num_no_aceptado,inf,inf,Excluir
20,prom_cupo_aprob,0.9998557570949479,2330000.0,2740000.0,Variable,prom_cupo_aprob,inf,inf,Excluir
21,acierta_a_financiero,0.9926436118423425,669.5999999999999,921.0,Variable,acierta_a_financiero,inf,inf,Excluir
22,cancel_mal_manejo_cartera_hist,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
23,cancel_mal_manejo_ctas_banca,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
24,cartera_banca_alt_max_de_mora,0.9926436118423425,0.0,0.0,No variable,cartera_banca_alt_max_de_mora,0.0,0.0,Excluir
25,cartera_castig_cartera_actual,0.9926436118423425,0.0,0.0,No variable,cartera_castig_cartera_actual,0.0,0.0,Excluir
26,cartera_coope_alt_max_de_mora,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
27,cartera_hipote_alt_max_de_mora,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
28,cartera_recupe_cartera_hist,0.9926436118423425,0.0,0.0,No variable,cartera_recupe_cartera_hist,0.0,0.0,Excluir
29,cedulaenc,1.0,,,,,,,Excluir
30,ciudad_de_expedicion,0.9926436118423425,,,,ciudad_de_expedicion,0.9760325781549276,0.9760325781549276,Excluir
31,ctas_ctes_act_cta_banca,0.9926436118423425,0.0,1.0,Variable,ctas_ctes_act_cta_banca,0.0,0.0,Excluir
32,ctas_de_ahorro_act_ctas_banca,0.9926436118423425,0.0,3.0,Variable,ctas_de_ahorro_act_ctas_banca,inf,inf,Excluir
33,ctas_embargadas_ctas_bancarias,0.9926436118423425,0.0,0.0,No variable,ctas_embargadas_ctas_bancarias,0.0,0.0,Excluir
34,ctas_en_cobrador_cartera_act,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
35,ctas_saldadas_ctas_banca,0.9926436118423425,0.0,4.0,Variable,ctas_saldadas_ctas_banca,inf,inf,Excluir
36,cuotas_calculadas_créditos,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
37,cuotas_calculadas_hipotecarias,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
38,cuotas_calculadas_tdc,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
39,cupo_ajustadi,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
40,cupo_exp_fin,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
41,cupo_final,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
42,cupo_segun_mercado,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
43,cupo_sugerido_1,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
44,cupo_sugerido_2,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
45,cupo_sugerido_3,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
46,dudoso_recaudo_cartera_actual,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
47,endeudamiento,0.9926436118423425,0.0,0.6,Variable,endeudamiento,inf,inf,Excluir
48,estado_consulta,0.9926436118423425,1.0,1.0,No variable,estado_consulta,,,Excluir
49,experiencia_financiera,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
50,fecantiapersectorbancasinpopu,0.9926436118423425,0.0,201905.0,Variable,fecantiapersectorbancasinpopu,inf,inf,Excluir
51,fecha_data,0.9926436118423425,,,,,,,Excluir
52,fecha_envio,0.9926436118423425,,,,,,,Excluir
53,fecha_mas_antigua_apertura,0.9926436118423425,0.0,201708.0,Variable,fecha_mas_antigua_apertura,inf,inf,Excluir
54,fec_masantapersectorhipsin_pop,0.9926436118423425,0.0,201308.69999999998,Variable,fec_masantapersectorhipsin_pop,0.0,0.0,Excluir
55,fec_mas_anti_aper_tdc_sin_popu,0.9926436118423425,0.0,201706.69999999998,Variable,fec_mas_anti_aper_tdc_sin_popu,inf,inf,Excluir
56,genero,0.993292704915077,,,,genero,0.4742845146327767,0.4742845146327767,Excluir
57,no_creditos_codeudores,1.0,,,No variable,,,,Excluir
58,numero_celulares_telcos,0.9926436118423425,0.0,2.0,Variable,numero_celulares_telcos,inf,inf,Excluir
59,numero_creditos_cb,0.9926436118423425,0.0,2.0,Variable,numero_creditos_cb,inf,inf,Excluir
60,numero_creditos_cf,0.9926436118423425,0.0,1.0,Variable,numero_creditos_cf,inf,inf,Excluir
61,numero_creditos_codeudores,0.9926436118423425,0.0,1.0,Variable,numero_creditos_codeudores,0.0,0.0,Excluir
62,numero_creditos_cooperativas,0.9926436118423425,0.0,0.0,No variable,numero_creditos_cooperativas,0.0,0.0,Excluir
63,numero_creditos_cv,0.9926436118423425,0.0,1.0,Variable,numero_creditos_cv,0.0,0.0,Excluir
64,numero_creditos_sr,0.9926436118423425,0.0,2.0,Variable,numero_creditos_sr,inf,inf,Excluir
65,numero_obligaciones_activas,0.9926436118423425,3.3000000000000007,13.0,Variable,numero_obligaciones_activas,inf,inf,Excluir
66,numero_tdc,0.9926436118423425,0.0,6.0,Variable,numero_tdc,inf,inf,Excluir
67,numoblvigensectorbancasin_popu,0.9926436118423425,0.0,2.0,Variable,numoblvigensectorbancasin_popu,inf,inf,Excluir
68,numoblvigensector_hip_sin_popu,0.9926436118423425,0.0,1.0,Variable,numoblvigensector_hip_sin_popu,0.0,0.0,Excluir
69,num_tdc_vigentes_sin_popular,0.9926436118423425,0.0,5.0,Variable,num_tdc_vigentes_sin_popular,inf,inf,Excluir
70,obliga_al_dia_cartera_actual,0.9926436118423425,3.0,13.0,Variable,obliga_al_dia_cartera_actual,inf,inf,Excluir
71,obliga_mora_120_cartera_actual,0.9926436118423425,0.0,0.0,No variable,obliga_mora_120_cartera_actual,0.0,0.0,Excluir
72,obliga_mora_30_cartera_actual,0.9926436118423425,0.0,0.0,No variable,obliga_mora_30_cartera_actual,0.0,0.0,Excluir
73,obliga_mora_60_cartera_actual,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
74,obliga_mora_90_cartera_actual,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
75,peor_califi_trim_1_endeud,0.9929681583787098,,,,peor_califi_trim_1_endeud,0.11908735143395588,0.11908735143395588,Excluir
76,peor_calif_trim_2_endeud,0.9930042191049728,,,,peor_calif_trim_2_endeud,0.0854862948845895,0.0854862948845895,Excluir
77,plazo_credito,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
78,plazo_hipotecario,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
79,plazo_tdc,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
80,porcentaje_utilizacion,0.9930763405574988,0.0,0.9390000000000001,Variable,porcentaje_utilizacion,inf,inf,Excluir
81,porcen_de_cuotas_vs_ingreso,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
82,quanto,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
83,quanto_mod,0.9926436118423425,2842400.0,9329400.0,Variable,quanto_mod,inf,inf,Excluir
84,rango_0,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
85,rango_1,0.9926436118423425,0.0,1.0,Variable,rango_1,0.0,0.0,Excluir
86,rango_2,0.9926436118423425,0.0,1.0,Variable,rango_2,inf,inf,Excluir
87,rango_3,0.9926436118423425,0.0,2.0,Variable,rango_3,inf,inf,Excluir
88,rango_4,0.9926436118423425,0.0,2.0,Variable,rango_4,inf,inf,Excluir
89,rango_5,0.9926436118423425,0.0,1.0,Variable,rango_5,inf,inf,Excluir
90,rango_6,0.9926436118423425,0.0,1.0,Variable,rango_6,0.0,0.0,Excluir
91,rango_aproximado_edad,0.9926796725686056,,,,rango_aproximado_edad,5.287032550573601,5.287032550573601,Excluir
92,respuesta,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
93,tasa_creditos,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
94,tasa_hipotecario,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
95,tdc_altura_maxima_de_mora,0.9926436118423425,0.0,0.0,No variable,tdc_altura_maxima_de_mora,0.0,0.0,Excluir
96,tipo_cliente,0.9966102917312755,,,,,,,Excluir
97,tipo_id,0.9926436118423425,,,,,,,Excluir
98,total_consultas_ult_6_meses,0.9926436118423425,0.0,5.0,Variable,total_consultas_ult_6_meses,inf,inf,Excluir
99,ult_año_moras_120_cartera_hist,0.9926436118423425,0.0,0.0,No variable,ult_año_moras_120_cartera_hist,0.0,0.0,Excluir
100,ult_año_moras_30_cartera_hist,0.9926436118423425,0.0,0.0,No variable,ult_año_moras_30_cartera_hist,0.0,0.0,Excluir
101,ult_año_moras_60_cartera_hist,0.9926436118423425,0.0,0.0,No variable,ult_año_moras_60_cartera_hist,0.0,0.0,Excluir
102,ult_año_moras_90_cartera_hist,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
103,utilizacion_sin_popular,0.9931124012837619,0.0,0.9,Variable,utilizacion_sin_popular,inf,inf,Excluir
104,util_sector_banca_sin_popular,0.9956366521221738,0.0,0.9,Variable,util_sector_banca_sin_popular,inf,inf,Excluir
105,util_sector_hip_sin_popular,0.9944466481554939,0.0,1.0,Variable,util_sector_hip_sin_popular,inf,inf,Excluir
106,val_cuo_sector_banca_sin_popu,0.9926436118423425,0.0,929800.0000000007,Variable,val_cuo_sector_banca_sin_popu,inf,inf,Excluir
107,val_morasectorbancasin_popular,0.9926436118423425,0.0,0.0,No variable,val_morasectorbancasin_popular,0.0,0.0,Excluir
108,val_mora_sector_hip_sin_popu,0.9926436118423425,0.0,0.0,No variable,,,,Excluir
109,val_util_sector_hip_sin_pop,0.9926436118423425,0.0,39216700.000000015,Variable,val_util_sector_hip_sin_pop,0.0,0.0,Excluir
110,fecha_real,0.9926436118423425,201812.0,201909.0,Variable,,,,Excluir
