,index,0_x,0_y
0,id_cliente,101156657180765902,999955266582332102
1,fecha_tx_pav,201901,201911
2,fecha_tx_act,201901,201911
3,fecha_pasivo,201812,201910
4,fecha_lib,201901,201911
5,fecha_activo,201812,201910
6,fecha_buro,201812,201909
7,data_camp,201902,201912
8,mes_campaña,2019-02-01 00:00:00,2019-12-01 00:00:00
9,venta,0.0,1.0
10,30first_use,0,1
11,var_final,0,2
12,tipo_campana,perfilados,perfilados
13,periodo,02-2019,12-2019
14,acep_oferta_prev,0.0,1.0
15,num_act_utl_meses,0.0,1.0
16,num_camp_ult_meses,1.0,2.0
17,num_meses_ult_actv,-0.8,-0.8
18,num_meses_ult_camp,0.9333333333333333,10.1
19,num_no_aceptado,0.0,2.0
20,prom_cupo_aprob,2300000.0,2800000.0
21,acierta_a_financiero,457.0,999.0
22,cancel_mal_manejo_cartera_hist,0.0,0.0
23,cancel_mal_manejo_ctas_banca,0.0,0.0
24,cartera_banca_alt_max_de_mora,0.0,6.0
25,cartera_castig_cartera_actual,0.0,2.0
26,cartera_coope_alt_max_de_mora,0.0,0.0
27,cartera_hipote_alt_max_de_mora,0.0,0.0
28,cartera_recupe_cartera_hist,0.0,2.0
29,cedulaenc,,
30,ctas_ctes_act_cta_banca,0.0,4.0
31,ctas_de_ahorro_act_ctas_banca,0.0,7.0
32,ctas_embargadas_ctas_bancarias,0.0,2.0
33,ctas_en_cobrador_cartera_act,0.0,0.0
34,ctas_saldadas_ctas_banca,0.0,12.0
35,cuotas_calculadas_créditos,0.0,0.0
36,cuotas_calculadas_hipotecarias,0.0,0.0
37,cuotas_calculadas_tdc,0.0,0.0
38,cupo_ajustadi,0.0,0.0
39,cupo_exp_fin,0.0,0.0
40,cupo_final,0.0,0.0
41,cupo_segun_mercado,0.0,0.0
42,cupo_sugerido_1,0.0,0.0
43,cupo_sugerido_2,0.0,0.0
44,cupo_sugerido_3,0.0,0.0
45,dudoso_recaudo_cartera_actual,0.0,0.0
46,endeudamiento,0.0,22.4
47,estado_consulta,1.0,1.0
48,experiencia_financiera,0.0,0.0
49,fecantiapersectorbancasinpopu,0.0,201908.0
50,fecha_data,2018-11-30 00:00:00,2019-08-31 00:00:00
51,fecha_envio,2018-12-17 00:00:00,2019-09-27 00:00:00
52,fecha_mas_antigua_apertura,0.0,201906.0
53,fec_masantapersectorhipsin_pop,0.0,201812.0
54,fec_mas_anti_aper_tdc_sin_popu,0.0,201906.0
55,no_creditos_codeudores,,
56,numero_celulares_telcos,0.0,5.0
57,numero_creditos_cb,0.0,4.0
58,numero_creditos_cf,0.0,21.0
59,numero_creditos_codeudores,0.0,9.0
60,numero_creditos_cooperativas,0.0,2.0
61,numero_creditos_cv,0.0,2.0
62,numero_creditos_sr,0.0,17.0
63,numero_obligaciones_activas,1.0,43.0
64,numero_tdc,0.0,11.0
65,numoblvigensectorbancasin_popu,0.0,3.0
66,numoblvigensector_hip_sin_popu,0.0,2.0
67,num_tdc_vigentes_sin_popular,0.0,10.0
68,obliga_al_dia_cartera_actual,1.0,43.0
69,obliga_mora_120_cartera_actual,0.0,1.0
70,obliga_mora_30_cartera_actual,0.0,1.0
71,obliga_mora_60_cartera_actual,0.0,0.0
72,obliga_mora_90_cartera_actual,0.0,0.0
73,plazo_credito,0.0,0.0
74,plazo_hipotecario,0.0,0.0
75,plazo_tdc,0.0,0.0
76,porcentaje_utilizacion,0.0,1.13
77,porcen_de_cuotas_vs_ingreso,0.0,0.0
78,quanto,0.0,0.0
79,quanto_mod,0.0,15467000.0
80,rango_0,0.0,0.0
81,rango_1,0.0,2.0
82,rango_2,0.0,3.0
83,rango_3,0.0,5.0
84,rango_4,0.0,6.0
85,rango_5,0.0,3.0
86,rango_6,0.0,5.0
87,respuesta,0.0,0.0
88,tasa_creditos,0.0,0.0
89,tasa_hipotecario,0.0,0.0
90,tdc_altura_maxima_de_mora,0.0,6.0
91,total_consultas_ult_6_meses,0.0,14.0
92,ult_año_moras_120_cartera_hist,0.0,13.0
93,ult_año_moras_30_cartera_hist,0.0,2.0
94,ult_año_moras_60_cartera_hist,0.0,1.0
95,ult_año_moras_90_cartera_hist,0.0,0.0
96,utilizacion_sin_popular,0.0,1.6
97,util_sector_banca_sin_popular,0.0,1.1
98,util_sector_hip_sin_popular,0.0,1.0
99,val_cuo_sector_banca_sin_popu,0.0,3531000.0
100,val_morasectorbancasin_popular,0.0,1175000.0
101,val_mora_sector_hip_sin_popu,0.0,0.0
102,val_util_sector_hip_sin_pop,0.0,230966000.0
103,fecha_real,201812.0,201909.0
104,moramax_mercado,0.0,12.0
105,tiene_carbancos,0.0,1.0
106,tiene_hipotecario,0.0,1.0
107,tiene_cartfinanciera,0.0,1.0
108,tiene_sectorreal,0.0,1.0
109,tiene_sectorcoop,0.0,1.0
110,tiene_codeudor,0.0,1.0
111,llave_lag,0.0,1.0
112,porcentaje_utilizaciondif,-1.0,98.0
113,numero_obligaciones_activasdif,-0.5,1.0
114,numero_creditos_cbdif,-1.0,2.0
115,valor_inicial_cbdif,-1.0,2.1950356428534796
116,valor_saldo_cbdif,-1.0,3.0237568245536375
117,valor_cuotas_cbdif,-1.0,4.081761006289308
118,valor_mora_cbdif,0.0,1.0
119,numero_creditos_cvdif,-1.0,1.0
120,valor_inicial_cvdif,-1.0,1.0
121,valor_saldo_cvdif,-1.0,1.0
122,valor_cuotas_cvdif,-1.0,1.0
123,valor_mora_cvdif,0.0,0.0
124,numero_creditos_cfdif,-1.0,1.0
125,valor_inicial_cfdif,-1.0,1.0
126,valor_saldo_cfdif,-1.0,5.242496050552923
127,valor_cuotas_cfdif,-1.0,1.6214689265536724
128,valor_mora_cfdif,0.0,1.0
129,numero_tdcdif,-1.0,2.0
130,valor_cuposdif,-1.0,10.941320293398533
131,valor_utilizadodif,-1.0,974.8260869565217
132,valor_cuotasdif,-1.0,49.18181818181818
133,valor_moradif,-1.0,1.0
134,numero_creditos_srdif,-1.0,1.5
135,valor_inicial_srdif,-1.0,96.09433962264151
136,valor_saldo_srdif,-1.0,290.005291005291
137,valor_cuotas_srdif,-1.0,11.859375
138,valor_mora_srdif,-1.0,0.0
139,numero_celulares_telcosdif,-1.0,3.0
140,valor_cuotas_celulares_telcosdif,-1.0,2.176470588235294
141,valor_mora_telcosdif,0.0,0.0
142,numero_creditos_cooperativasdif,-1.0,1.0
143,valor_inicial_cooperativasdif,-1.0,1.0
144,valor_saldo_cooperativasdif,-1.0,1.0
145,valor_cuotas_cooperativasdif,-1.0,1.0
146,valor_mora_cooperativasdif,0.0,0.0
147,numero_creditos_codeudoresdif,-0.1,1.0
148,valor_saldo_codeudoresdif,-1.0,2.5531914893617023
149,valor_cuotas_codeudoresdif,-1.0,1.0
150,valor_mora_codeudoresdif,-1.0,1.0
151,obliga_al_dia_cartera_actualdif,-0.5,1.0
152,obliga_mora_30_cartera_actualdif,-1.0,1.0
153,obliga_mora_60_cartera_actualdif,0.0,0.0
154,obliga_mora_90_cartera_actualdif,0.0,0.0
155,obliga_mora_120_cartera_actualdif,0.0,1.0
156,cartera_castig_cartera_actualdif,-1.0,1.0
157,dudoso_recaudo_cartera_actualdif,0.0,0.0
158,ctas_en_cobrador_cartera_actdif,0.0,0.0
159,ult_año_moras_30_cartera_histdif,-1.0,1.0
160,ult_año_moras_60_cartera_histdif,-1.0,1.0
161,ult_año_moras_90_cartera_histdif,0.0,0.0
162,ult_año_moras_120_cartera_histdif,0.0,1.0
163,cancel_mal_manejo_cartera_histdif,0.0,0.0
164,cartera_recupe_cartera_histdif,0.0,1.0
165,ctas_de_ahorro_act_ctas_bancadif,-1.0,2.0
166,ctas_ctes_act_cta_bancadif,-1.0,1.0
167,ctas_embargadas_ctas_bancariasdif,-1.0,0.0
168,cancel_mal_manejo_ctas_bancadif,0.0,0.0
169,ctas_saldadas_ctas_bancadif,-0.3333333333333333,2.0
170,total_consultas_ult_6_mesesdif,-1.0,4.0
171,num_tdc_vigentes_sin_populardif,-1.0,2.0
172,cupo_sin_populardif,-1.0,10.941320293398533
173,max_cupo_tdc_sin_populardif,-1.0,6.090464547677262
174,promedio_cupo_tdc_sin_populardif,-1.0,2.980440097799511
175,valor_utilizado_sin_populardif,-1.0,974.8260869565217
176,utilizacion_sin_populardif,-1.0,3.0000000000000004
177,valor_cuotas_sin_populardif,-1.0,49.18181818181818
178,valor_en_mora_sin_populardif,-1.0,1.0
179,numoblvigensectorbancasin_popudif,-1.0,2.0
180,cuposectorbancario_sin_populardif,-1.0,13.88
181,maxcuposectorbancasin_populardif,-1.0,13.88
182,promcuposectorbancasin_populardif,-1.0,13.88
183,valor_utilisectorbancasin_popudif,-1.0,24.35690680766689
184,util_sector_banca_sin_populardif,-0.2222222222222223,1.0
185,val_cuo_sector_banca_sin_popudif,-1.0,7.233333333333333
186,val_morasectorbancasin_populardif,0.0,1.0
187,numoblvigensector_hip_sin_popudif,0.0,1.0
188,cupo_sector_hip_sin_populardif,0.0,1.0
189,max_cupo_sector_hip_sin_popudif,0.0,1.0
190,prom_cupo_sector_hip_sin_popudif,0.0,1.0
191,val_util_sector_hip_sin_popdif,-0.15228643705000974,1.0
192,util_sector_hip_sin_populardif,-1.0,9.0
193,val_cuotas_sector_hip_sin_popudif,-1.0,1.0
194,val_mora_sector_hip_sin_popudif,0.0,0.0
195,saldo_mercadodif,-1.0,3.8634285455615407
196,cuota_mercadodif,-1.0,2.1217020132423623
197,cupo_mercadodif,-1.0,3.2723880597014925
198,ano_po,2018.0,2019.0
199,valor_saldo_cb_smlv,0.0,349.31579633771116
200,valor_saldo_cv_smlv,0.0,295.63950734855524
201,valor_saldo_cf_smlv,0.0,53.42134703459364
202,valor_saldo_sr_smlv,0.0,335.39159440992677
203,valor_saldo_cooperativas_smlv,0.0,121.37212285053799
204,valor_saldo_codeudores_smlv,0.0,5435.263337096572
205,saldo_mercado_smlv,0.0,504.72035318723465
206,valor_cupos_smlv,0.0,170.6935879023401
207,cupo_sin_popular_smlv,0.0,170.6935879023401
208,max_cupo_tdc_sin_popular_smlv,0.0,57.293386684279646
209,promedio_cupo_tdc_sin_popular_smlv,0.0,29.79655024175357
210,cuposectorbancario_sin_popular_smlv,0.0,186.20579725545696
211,maxcuposectorbancasin_popular_smlv,0.0,186.20579725545696
212,promcuposectorbancasin_popular_smlv,0.0,186.20579725545696
213,cupo_sector_hip_sin_popular_smlv,0.0,301.8900733713634
